YEAR,CARR,code,ROUTE,FLT,KM,SEAT,PAX,RPK,ASK,PLF,CARGO_TTL,CARGO,POST,PAX_TK,FTK,POST_TK,TTK,AFK,FLF
2018,AAR,OZ,국내선,"34,469","12,790,510","7,218,333","6,129,493","2,386,918,335","2,780,193,883",86,"69,818,315","69,817,926",389,"190,953,473","28,364,672",105,"219,318,250","343,374,461",64
2018,AAR,OZ,국제선,"71,744","211,461,739","16,199,361","13,726,644","45,154,810,430","53,098,960,601",85,"907,968,829","892,486,306","15,482,523","4,063,932,968","4,171,528,537","58,978,516","8,294,440,021","12,285,556,689",68
2018,AAR,OZ,소계,"106,213","224,252,249","23,417,694","19,856,137","47,541,728,765","55,879,154,484",85,"977,787,144","962,304,232","15,482,912","4,254,886,441","4,199,893,209","58,978,621","8,513,758,271","12,628,931,150",67
2018,ABL,BX,국내선,"27,527","9,157,672","5,190,701","4,457,419","1,488,253,135","1,727,163,381",86,"25,513,192","25,512,590",602,"119,060,244","8,471,677",194,"127,532,115","176,423,714",72
2018,ABL,BX,국제선,"21,595","28,474,160","4,294,295","3,610,156","4,653,546,823","5,572,112,869",84,"33,648,170","33,633,034","15,136","418,819,224","46,781,441","23,621","465,624,286","579,051,976",80
2018,ABL,BX,소계,"49,122","37,631,832","9,484,996","8,067,575","6,141,799,958","7,299,276,250",84,"59,161,362","59,145,624","15,738","537,879,468","55,253,118","23,815","593,156,401","755,475,690",79
2018,ASV,RS,국제선,"10,171","16,473,302","2,026,027","1,717,022","2,815,217,177","3,268,836,681",86,"15,693,604","15,690,792","2,812","253,369,544","27,679,610","3,535","281,052,689","341,697,088",82
2018,ASV,RS,소계,"10,171","16,473,302","2,026,027","1,717,022","2,815,217,177","3,268,836,681",86,"74,854,966","74,836,416","18,550","791,249,012","82,932,728","27,350","874,209,090","1,097,172,778",80
2018,ESR,ZE,국내선,"16,844","6,983,899","3,251,058","3,032,694","1,263,006,580","1,351,083,937",93,"13,555,155","13,553,710","1,445","101,040,527","5,619,487",576,"106,660,590","139,550,445",76
2018,ESR,ZE,국제선,"18,528","35,463,562","3,469,569","2,870,742","5,651,607,500","6,665,303,941",85,"29,634,822","28,856,045","778,777","508,644,699","59,548,547","2,346,399","570,539,645","736,083,767",78
2018,ESR,ZE,소계,"35,372","42,447,461","6,720,627","5,903,436","6,914,614,080","8,016,387,878",86,"43,189,977","42,409,755","780,222","609,685,226","65,168,034","2,346,975","677,200,235","875,634,212",77
2018,JJA,7C,국내선,"26,395","10,021,575","4,987,221","4,676,134","1,780,476,524","1,893,489,591",94,"18,988,718","18,982,470","6,248","142,438,118","7,170,318","2,394","149,610,830","199,079,322",75
2018,JJA,7C,국제선,"43,743","79,755,841","8,260,632","7,284,521","13,073,098,622","15,056,591,292",87,"76,682,709","76,044,432","638,277","1,176,578,885","143,934,368","1,140,668","1,321,653,921","1,654,734,013",80
2018,JJA,7C,소계,"70,138","89,777,416","13,247,853","11,960,655","14,853,575,146","16,950,080,883",88,"95,671,427","95,026,902","644,525","1,319,017,003","151,104,686","1,143,062","1,471,264,751","1,853,813,335",79
2018,JNA,LJ,국내선,"18,794","7,312,463","3,738,858","3,474,740","1,364,939,277","1,465,926,237",93,"26,564,714","26,564,714",0,"109,195,147","10,616,593",0,"119,811,740","160,298,603",75
2018,JNA,LJ,국제선,"29,047","57,807,265","6,392,958","5,415,238","11,341,321,218","13,400,975,358",85,"62,181,424","60,945,507","1,235,917","1,020,718,908","139,344,741","3,661,915","1,163,725,564","1,570,665,961",74
2018,JNA,LJ,소계,"47,841","65,119,728","10,131,816","8,889,978","12,706,260,495","14,866,901,595",85,"88,746,138","87,510,221","1,235,917","1,129,914,055","149,961,334","3,661,915","1,283,537,304","1,730,964,564",74
2018,KAL,KE,국내선,"54,066","18,944,785","9,344,969","6,957,415","2,518,567,791","3,332,493,133",76,"105,896,292","105,887,052","9,240","201,485,422","40,278,763","3,512","241,767,697","439,535,392",55
2018,KAL,KE,국제선,"107,737","397,504,915","25,236,748","20,052,121","77,965,394,793","97,062,502,935",80,"1,613,752,360","1,562,110,184","51,642,176","7,016,885,556","8,048,023,895","231,060,356","15,295,969,807","26,902,516,856",57
2018,KAL,KE,소계,"161,803","416,449,700","34,581,717","27,009,536","80,483,962,584","100,394,996,068",80,"1,719,648,652","1,667,997,236","51,651,416","7,218,370,978","8,088,302,658","231,063,868","15,537,737,504","27,342,052,248",57
2018,TWB,TW,국내선,"16,338","6,112,794","3,085,554","2,872,830","1,080,018,788","1,154,430,009",94,"12,856,219","12,855,418",801,"86,401,500","4,804,358",360,"91,206,218","123,105,547",74
2018,TWB,TW,국제선,"26,154","45,356,904","4,934,511","4,170,812","7,163,054,895","8,554,943,610",84,"38,925,331","38,889,465","35,866","644,674,937","73,416,934","98,273","718,190,144","943,550,511",76
2018,TWB,TW,소계,"42,492","51,469,698","8,020,065","7,043,642","8,243,073,683","9,709,373,619",85,"51,781,550","51,744,883","36,667","731,076,437","78,221,292","98,633","809,396,362","1,066,656,058",76
2018,국적사,KOR_CARR,합계,"523,152","943,621,386","107,630,795","90,447,981","179,700,231,888","216,385,007,458",,"3,110,841,216","3,040,975,269","69,865,947","16,592,078,620","12,870,837,059","297,344,239","29,760,259,918","47,350,700,035",63
2017,AAR,OZ,국내선,"36,026","13,538,608","7,008,049","5,990,619","2,331,732,271","2,710,240,983",86,"65,198,724","65,198,083",641,"186,538,578","26,353,346",187,"212,892,111","327,811,224",65
2017,AAR,OZ,국제선,"72,555","206,657,449","16,269,361","13,343,785","42,761,904,065","51,570,151,113",83,"872,784,286","852,236,862","20,547,424","3,848,571,406","3,916,133,342","79,634,088","7,844,338,836","11,921,236,398",66
2017,AAR,OZ,소계,"108,581","220,196,057","23,277,410","19,334,404","45,093,636,336","54,280,392,096",83,"937,983,010","917,434,945","20,548,065","4,035,109,984","3,942,486,688","79,634,275","8,057,230,947","12,249,047,622",66
2017,ABL,BX,국내선,"25,035","8,323,431","4,675,844","4,106,166","1,365,917,505","1,555,771,312",88,"25,012,671","25,008,311","4,360","109,273,401","8,290,178","1,629","117,565,208","160,998,789",73
2017,ABL,BX,국제선,"19,028","25,300,501","3,632,949","3,003,639","3,912,491,085","4,767,839,066",82,"39,021,413","39,018,487","2,926","352,124,213","45,530,624","2,061","397,656,898","504,371,849",79
2017,ABL,BX,소계,"44,063","33,623,932","8,308,793","7,109,805","5,278,408,590","6,323,610,378",84,"64,034,084","64,026,798","7,286","461,397,614","53,820,802","3,690","515,222,106","665,370,638",77
2017,ASV,RS,국제선,"5,837","10,112,808","1,135,426","820,943","1,484,653,241","1,966,154,783",76,"8,261,281","8,258,762","2,519","133,618,789","15,209,671","1,841","148,830,301","209,670,024",71
2017,ASV,RS,소계,"5,837","10,112,808","1,135,426","820,943","1,484,653,241","1,966,154,783",76,"8,261,281","8,258,762","2,519","133,618,789","15,209,671","1,841","148,830,301","209,670,024",71
2017,ESR,ZE,국내선,"18,486","7,715,355","3,301,052","3,006,318","1,257,425,255","1,374,416,826",92,"11,944,187","11,943,057","1,130","100,594,013","4,979,305",508,"105,573,826","145,653,247",73
2017,ESR,ZE,국제선,"15,622","31,588,418","2,920,739","2,514,596","5,148,493,500","5,926,194,230",87,"26,258,597","25,707,127","551,470","463,364,414","54,913,891","1,772,970","520,051,275","659,466,843",79
2017,ESR,ZE,소계,"34,108","39,303,773","6,221,791","5,520,914","6,405,918,755","7,300,611,056",88,"38,202,784","37,650,184","552,600","563,958,427","59,893,196","1,773,478","625,625,101","805,120,090",78
2017,JJA,7C,국내선,"25,819","9,897,382","4,876,557","4,641,543","1,783,376,617","1,869,323,934",95,"20,998,433","20,994,556","3,877","142,670,125","8,032,038","1,335","150,703,498","196,103,188",77
2017,JJA,7C,국제선,"34,741","62,975,392","6,551,148","5,825,360","10,452,751,085","11,864,598,465",88,"62,761,999","62,333,443","428,556","940,747,612","118,421,622","755,848","1,059,925,082","1,306,215,826",81
2017,JJA,7C,소계,"60,560","72,872,774","11,427,705","10,466,903","12,236,127,702","13,733,922,399",89,"83,760,432","83,327,999","432,433","1,083,417,737","126,453,660","757,183","1,210,628,580","1,502,319,014",81
2017,JNA,LJ,국내선,"19,210","7,595,812","3,950,745","3,737,910","1,497,565,938","1,579,336,221",95,"31,727,407","31,724,928","2,479","119,805,272","12,839,291","1,033","132,645,596","171,567,784",77
2017,JNA,LJ,국제선,"25,664","52,013,102","5,680,032","4,859,493","10,536,926,210","12,251,773,164",86,"58,538,485","57,548,643","989,842","948,323,371","138,719,854","2,008,242","1,089,051,467","1,434,500,315",76
2017,JNA,LJ,소계,"44,874","59,608,914","9,630,777","8,597,403","12,034,492,148","13,831,109,385",87,"90,265,892","89,273,571","992,321","1,068,128,643","151,559,145","2,009,275","1,221,697,063","1,606,068,099",76
2017,KAL,KE,국내선,"55,168","19,367,955","10,318,865","7,988,802","2,897,608,557","3,710,715,194",78,"122,218,579","122,209,524","9,055","231,808,687","46,708,149","3,147","278,519,983","491,968,225",57
2017,KAL,KE,국제선,"105,741","391,225,234","24,254,203","18,924,701","75,078,914,818","94,625,328,397",79,"1,634,888,293","1,583,283,515","51,604,778","6,757,102,399","8,199,879,115","234,354,413","15,191,335,927","26,435,543,364",58
2017,KAL,KE,소계,"160,909","410,593,189","34,573,068","26,913,503","77,976,523,375","98,336,043,591",79,"1,757,106,872","1,705,493,039","51,613,833","6,988,911,086","8,246,587,264","234,357,560","15,469,855,910","26,927,511,589",58
2017,TWB,TW,국내선,"16,811","6,331,625","3,174,849","2,934,897","1,109,607,718","1,195,709,697",93,"13,025,283","13,022,763","2,520","88,768,619","4,869,056",663,"93,638,338","127,679,641",73
2017,TWB,TW,국제선,"20,521","34,978,649","3,866,277","3,278,069","5,485,663,816","6,583,410,708",83,"32,532,851","32,516,440","16,411","493,709,738","60,034,705","29,963","553,774,406","725,060,753",76
2017,TWB,TW,소계,"37,332","41,310,274","7,041,126","6,212,966","6,595,271,534","7,779,120,405",85,"45,558,134","45,539,203","18,931","582,478,357","64,903,761","30,626","647,412,744","852,740,394",76
2017,국적사,KOR_CARR,합계,"496,264","887,621,721","101,616,096","84,976,841","167,105,031,681","203,550,964,093",82,"3,025,172,489","2,951,004,501","74,167,988","14,917,020,637","12,660,914,187","318,567,928","27,896,502,752","44,817,847,470",62
2016,AAR,OZ,국내선,"35,849","13,644,342","6,485,047","5,444,059","2,112,852,539","2,506,624,992",84,"66,008,836","66,007,872",964,"169,028,208","26,554,035",308,"195,582,551","297,250,989",66
2016,AAR,OZ,국제선,"76,651","211,593,800","16,712,092","13,865,801","41,089,548,384","49,379,524,525",83,"849,409,371","819,503,942","29,905,429","3,698,059,388","3,701,214,821","108,295,366","7,507,569,575","11,896,915,445",63
2016,AAR,OZ,소계,"112,500","225,238,142","23,197,139","19,309,860","43,202,400,923","51,886,149,517",83,"915,418,207","885,511,814","29,906,393","3,867,087,596","3,727,768,856","108,295,674","7,703,152,126","12,194,166,434",63
2016,ABL,BX,국내선,"23,190","7,714,468","4,198,291","3,667,282","1,222,826,325","1,399,401,319",87,"22,345,420","22,345,253",167,"97,826,106","7,405,571",55,"105,231,732","148,933,608",71
2016,ABL,BX,국제선,"14,100","18,044,978","2,623,432","2,215,581","2,822,105,550","3,348,297,071",84,"50,757,015","50,757,015",,"253,989,507","43,523,237",,"297,512,744","360,432,801",83
2016,ABL,BX,소계,"37,290","25,759,446","6,821,723","5,882,863","4,044,931,875","4,747,698,390",85,"73,102,435","73,102,268",167,"351,815,613","50,928,808",55,"402,744,476","509,366,409",79
2016,ASV,RS,국내선,638,"286,451","109,098","96,876","43,495,872","48,983,121",89,"673,689","673,689",0,"3,479,670","302,477",0,"3,782,147","5,903,670",64
2016,ASV,RS,국제선,978,"1,785,829","190,515","117,374","238,316,449","347,557,275",69,"1,153,369","1,153,328",41,"21,448,486","2,380,566",27,"23,829,079","37,024,593",64
2016,ASV,RS,소계,"1,616","2,072,280","299,613","214,250","281,812,321","396,540,396",71,"1,827,058","1,827,017",41,"24,928,156","2,683,043",27,"27,611,226","42,928,263",64
2016,ESR,ZE,국내선,"16,207","6,823,179","2,834,399","2,530,686","1,065,989,104","1,191,036,489",90,"11,801,066","11,800,212",854,"85,279,134","4,969,765",383,"90,249,282","128,242,115",70
2016,ESR,ZE,국제선,"13,278","25,737,434","2,444,449","2,073,512","4,109,727,137","4,796,645,127",86,"22,204,016","22,161,743","42,273","369,875,437","44,504,760","141,259","414,521,456","528,515,097",78
2016,ESR,ZE,소계,"29,485","32,560,613","5,278,848","4,604,198","5,175,716,241","5,987,681,616",86,"34,005,082","33,961,955","43,127","455,154,571","49,474,525","141,642","504,770,738","656,757,212",77
2016,JJA,7C,국내선,"26,177","10,298,627","4,934,544","4,533,247","1,785,584,635","1,941,282,105",92,"21,279,940","21,274,753","5,187","142,846,769","8,388,007","1,657","151,236,433","205,578,999",74
2016,JJA,7C,국제선,"25,765","46,630,467","4,848,585","4,124,597","7,486,901,081","8,772,262,143",85,"47,229,427","46,595,673","633,754","673,821,096","87,441,179","1,534,536","675,443,073","969,327,946",70
2016,JJA,7C,소계,"51,942","56,929,094","9,783,129","8,657,844","9,272,485,716","10,713,544,248",87,"68,509,367","67,870,426","638,941","816,667,865","95,829,186","1,536,193","826,679,506","1,174,906,945",70
2016,JNA,LJ,국내선,"19,200","7,918,821","4,148,832","3,935,030","1,642,672,404","1,730,164,695",95,"35,501,792","35,497,854","3,938","131,413,790","14,939,668","1,707","146,355,165","192,222,064",76
2016,JNA,LJ,국제선,"21,371","45,134,820","4,526,632","3,749,912","8,522,149,075","10,369,240,074",82,"44,575,907","44,279,262","296,645","766,993,414","114,559,174","697,175","882,249,763","1,210,092,800",73
2016,JNA,LJ,소계,"40,571","53,053,641","8,675,464","7,684,942","10,164,821,479","12,099,404,769",84,"80,077,699","79,777,116","300,583","898,407,204","129,498,842","698,882","1,028,604,928","1,402,314,864",73
2016,KAL,KE,국내선,"53,709","18,952,953","10,203,871","7,904,329","2,886,585,111","3,706,060,810",78,"122,628,731","122,621,771","6,960","230,926,814","47,334,343","2,128","278,263,285","480,598,109",58
2016,KAL,KE,국제선,"106,831","390,804,413","24,329,711","19,036,977","72,842,041,832","93,520,424,905",78,"1,547,637,635","1,494,574,951","53,062,684","6,555,783,822","7,869,697,685","229,866,532","14,655,348,039","25,856,315,766",57
2016,KAL,KE,소계,"160,540","409,757,366","34,533,582","26,941,306","75,728,626,943","97,226,485,715",78,"1,670,266,366","1,617,196,722","53,069,644","6,786,710,636","7,917,032,028","229,868,660","14,933,611,324","26,336,913,875",57
2016,TWB,TW,국내선,"16,027","6,055,699","3,025,023","2,801,413","1,059,778,945","1,142,804,733",93,"12,647,287","12,642,507","4,780","84,782,314","4,756,166","1,827","89,540,307","122,694,620",73
2016,TWB,TW,국제선,"13,091","21,668,711","2,467,083","2,022,741","3,358,883,611","4,082,365,044",82,"21,084,857","21,065,447","19,410","302,299,546","38,985,583","70,722","341,355,851","451,076,830",76
2016,TWB,TW,소계,"29,118","27,724,410","5,492,106","4,824,154","4,418,662,556","5,225,169,777",85,"33,732,144","33,707,954","24,190","387,081,860","43,741,749","72,549","430,896,158","573,771,450",75
2016,국적사,KOR_CARR,합계,"463,062","833,094,992","94,081,604","78,119,417","152,289,458,054","188,282,674,428",81,"2,876,938,358","2,792,955,272","83,983,086","13,587,853,501","12,016,957,037","340,613,682","25,858,070,482","42,891,125,452",60
2015,AAR,OZ,국내선,"36,486","13,768,753","6,676,065","5,255,729","2,035,825,916","2,560,813,202",80,"67,331,904","67,329,105","2,799","162,866,067","26,916,664","1,010","189,783,741","305,410,237",62
2015,AAR,OZ,국제선,"75,099","207,654,716","16,196,737","12,870,999","38,543,537,712","47,469,525,104",81,"810,631,410","778,044,194","32,587,216","3,468,918,428","3,639,102,107","129,197,931","7,237,218,466","11,526,607,535",63
2015,AAR,OZ,소계,"111,585","221,423,469","22,872,802","18,126,728","40,579,363,628","50,030,338,306",81,"877,963,314","845,373,299","32,590,015","3,631,784,495","3,666,018,771","129,198,941","7,427,002,207","11,832,017,772",63
2015,ABL,BX,국내선,"22,150","7,374,562","3,817,642","3,220,620","1,075,940,872","1,274,800,976",84,"21,801,313","21,801,313",,"86,075,267","7,215,400",,"93,290,667","132,253,090",71
2015,ABL,BX,국제선,"11,062","14,063,406","2,042,625","1,624,693","2,022,756,445","2,572,602,063",79,"26,322,424","26,317,513","4,911","182,048,087","26,487,083","4,859","208,540,029","273,842,586",76
2015,ABL,BX,소계,"33,212","21,437,968","5,860,267","4,845,313","3,098,697,317","3,847,403,039",81,"48,123,737","48,118,826","4,911","268,123,354","33,702,483","4,859","301,830,696","406,095,676",74
2015,ESR,ZE,국내선,"14,142","6,008,527","2,340,923","2,058,403","877,025,913","994,910,678",88,"10,295,749","10,291,785","3,964","70,162,069","4,375,603","1,647","74,539,319","106,425,138",70
2015,ESR,ZE,국제선,"8,404","16,505,767","1,560,095","1,305,837","2,615,179,026","3,078,040,308",85,"15,012,461","15,009,386","3,075","235,366,105","30,891,942","1,793","266,259,840","343,338,477",78
2015,ESR,ZE,소계,"22,546","22,514,294","3,901,018","3,364,240","3,492,204,939","4,072,950,986",86,"25,308,210","25,301,171","7,039","305,528,174","35,267,545","3,440","340,799,159","449,763,615",76
2015,JJA,7C,국내선,"24,435","9,603,799","4,597,281","4,195,186","1,652,178,799","1,806,880,665",91,"20,464,416","20,459,083","5,333","132,174,311","8,043,529","2,059","140,219,899","194,219,651",72
2015,JJA,7C,국제선,"18,973","36,135,888","3,565,419","2,923,964","5,653,303,863","6,791,261,463",83,"35,555,128","35,095,907","459,221","508,797,352","68,939,053","1,331,867","579,068,272","745,335,666",78
2015,JJA,7C,소계,"43,408","45,739,687","8,162,700","7,119,150","7,305,482,662","8,598,142,128",85,"56,019,544","55,554,990","464,554","640,971,663","76,982,582","1,333,926","719,288,171","939,555,317",77
2015,JNA,LJ,국내선,"16,809","7,099,766","3,523,806","3,254,752","1,387,386,772","1,497,616,644",93,"30,367,685","30,365,840","1,845","110,990,944","13,034,839",828,"124,026,611","169,905,232",73
2015,JNA,LJ,국제선,"12,895","25,617,970","2,506,166","2,034,895","4,225,798,831","5,096,547,594",83,"21,952,512","21,875,977","76,535","380,321,906","48,550,529","158,502","429,030,937","569,281,001",75
2015,JNA,LJ,소계,"29,704","32,717,736","6,029,972","5,289,647","5,613,185,603","6,594,164,238",85,"52,320,197","52,241,817","78,380","491,312,850","61,585,368","159,330","553,057,548","739,186,233",75
2015,KAL,KE,국내선,"52,954","18,617,051","10,100,891","7,431,897","2,710,631,029","3,662,438,159",74,"125,197,714","125,073,662","124,052","216,850,480","48,017,378","38,746","264,906,604","479,274,296",55
2015,KAL,KE,국제선,"102,610","383,037,251","23,032,296","17,582,649","68,864,808,575","90,337,748,764",76,"1,514,635,042","1,465,986,898","48,648,144","6,197,832,821","7,867,223,623","197,543,837","14,262,600,281","24,977,933,328",57
2015,KAL,KE,소계,"155,564","401,654,302","33,133,187","25,014,546","71,575,439,604","94,000,186,923",76,"1,639,832,756","1,591,060,560","48,772,196","6,414,683,301","7,915,241,001","197,582,583","14,527,506,885","25,457,207,624",57
2015,TWB,TW,국내선,"15,607","5,844,634","2,940,330","2,563,547","967,680,481","1,101,292,266",88,"12,321,757","12,321,144",613,"77,414,442","4,646,602",202,"82,061,246","117,827,378",70
2015,TWB,TW,국제선,"7,598","11,606,211","1,428,936","1,077,382","1,694,340,462","2,184,002,367",78,"11,281,745","11,252,904","28,841","152,490,649","19,842,814","102,213","172,435,676","240,466,805",72
2015,TWB,TW,소계,"23,205","17,450,845","4,369,266","3,640,929","2,662,020,943","3,285,294,633",81,"23,603,502","23,574,048","29,454","229,905,091","24,489,416","102,415","254,496,922","358,294,183",71
2015,국적사,KOR_CARR,합계,"419,224","762,938,301","84,329,212","67,400,553","134,326,394,696","170,428,480,253",79,"2,723,171,260","2,641,224,711","81,946,549","11,982,308,928","11,813,287,166","328,385,494","24,123,981,588","40,182,120,420",60
2014,AAR,OZ,국내선,"38,354","14,265,037","6,930,115","5,264,761","2,030,560,977","2,618,634,319",78,"70,002,513","69,999,661","2,852","162,444,876","27,869,992","1,198","190,316,066","306,492,793",62
2014,AAR,OZ,국제선,"75,252","207,746,221","15,790,445","12,424,917","35,867,226,583","44,548,264,095",81,"810,277,487","784,973,573","25,303,914","3,228,050,420","3,796,298,629","104,417,072","7,128,766,121","11,423,641,497",62
2014,AAR,OZ,소계,"113,606","222,011,258","22,720,560","17,689,678","37,897,787,560","47,166,898,414",80,"880,280,000","854,973,234","25,306,766","3,390,495,296","3,824,168,621","104,418,270","7,319,082,187","11,730,134,290",62
2014,ABL,BX,국내선,"21,588","7,197,413","3,631,645","2,853,999","957,372,036","1,215,726,159",79,"21,619,777","21,619,059",718,"76,589,756","7,195,095",308,"83,785,159","128,704,565",65
2014,ABL,BX,국제선,"8,772","11,255,589","1,591,021","1,255,551","1,576,767,118","2,075,835,336",76,"13,231,094","13,228,968","2,126","141,909,031","17,089,236","2,162","159,000,429","220,284,360",72
2014,ABL,BX,소계,"30,360","18,453,002","5,222,666","4,109,550","2,534,139,154","3,291,561,495",77,"34,850,871","34,848,027","2,844","218,498,787","24,284,331","2,470","242,785,588","348,988,925",70
2014,ESR,ZE,국내선,"13,107","5,604,311","1,992,154","1,809,556","774,067,180","851,430,087",91,"9,582,696","9,578,430","4,266","61,925,375","4,095,505","1,915","66,022,795","91,000,870",73
2014,ESR,ZE,국제선,"6,893","13,080,949","1,225,424","1,070,257","2,086,832,678","2,355,594,616",89,"12,013,235","12,004,911","8,324","187,814,938","24,156,403","20,900","211,992,241","265,165,687",80
